nome,email,telefone,dados_pessoais,conta_bancaria
João Silva,joaosilva@gmail.com,,"{'cep': '88107312', 'rua': 'Julieta da Silva Melo', 'uf': 'SC', 'numero': '135', 'bairro': 'Forquilhas'}","{'numero_conta': '1234578', 'dv_conta': '1', 'agencia': '1234', 'dv_agencia': '1'}"
Ana Souza,anasouza@gmail.com,,"{'cep': '88107313', 'rua': 'Rua das Flores', 'uf': 'SC', 'numero': '200', 'bairro': 'Centro'}","{'numero_conta': '8765432', 'dv_conta': '2', 'agencia': '4321', 'dv_agencia': '2'}"
Pedro Oliveira,pedrooliveira@gmail.com,,"{'cep': '88107314', 'rua': 'Avenida Brasil', 'uf': 'SC', 'numero': '1000', 'bairro': 'Centro'}","{'numero_conta': '1357911', 'dv_conta': '3', 'agencia': '5678', 'dv_agencia': '3'}"
Mariana Lima,marianalima@gmail.com,,"{'cep': '88107315', 'rua': 'Rua do Sol', 'uf': 'SC', 'numero': '45', 'bairro': 'Jardim'}","{'numero_conta': '2468135', 'dv_conta': '4', 'agencia': '9101', 'dv_agencia': '4'}"
Lucas Ferreira,lucasferreira@gmail.com,,"{'cep': '88107316', 'rua': 'Rua da Paz', 'uf': 'SC', 'numero': '78', 'bairro': 'Novo Mundo'}","{'numero_conta': '1357248', 'dv_conta': '5', 'agencia': '1112', 'dv_agencia': '5'}"
Fernanda Martins,fernandamartins@gmail.com,,"{'cep': '88107317', 'rua': 'Rua da Liberdade', 'uf': 'SC', 'numero': '33', 'bairro': 'Vila Nova'}","{'numero_conta': '6543217', 'dv_conta': '6', 'agencia': '1213', 'dv_agencia': '6'}"
Rafael Costa,rafaelcosta@gmail.com,,"{'cep': '88107318', 'rua': 'Avenida do Trabalho', 'uf': 'SC', 'numero': '99', 'bairro': 'Jardim Primavera'}","{'numero_conta': '5432169', 'dv_conta': '7', 'agencia': '1314', 'dv_agencia': '7'}"
Giovanna Almeida,giovannaalmeida@gmail.com,,"{'cep': '88107319', 'rua': 'Rua das Águas', 'uf': 'SC', 'numero': '22', 'bairro': 'Verde Vale'}","{'numero_conta': '9876543', 'dv_conta': '8', 'agencia': '1516', 'dv_agencia': '8'}"
Thiago Rocha,thiagorocha@gmail.com,,"{'cep': '88107320', 'rua': 'Rua da Vitória', 'uf': 'SC', 'numero': '44', 'bairro': 'Harmonia'}","{'numero_conta': '1357964', 'dv_conta': '9', 'agencia': '1718', 'dv_agencia': '9'}"
Camila Pires,camilapires@gmail.com,,"{'cep': '88107321', 'rua': 'Rua da Amizade', 'uf': 'SC', 'numero': '55', 'bairro': 'Nova Esperança'}","{'numero_conta': '1234987', 'dv_conta': '0', 'agencia': '1920', 'dv_agencia': '0'}"
Teste,teste@example.com,99999-9999,{},{}
