cliente_cpf,valor_solicitado,taxa_juros,aprovado
79381997932,2670.78,8.77,True
17527544953,9791.64,2.6,False
79634244877,3615.55,2.46,False
9373955733,4461.08,9.19,True
87306659516,4043.49,1.2,False
59374352750,1966.21,2.63,False
74259838085,3849.75,6.39,True
54516680445,8489.16,4.36,True
3686920880,1669.34,1.23,False
94132299554,3107.59,2.54,False
61348461511,6728.48,2.51,False
7976821476,2734.12,7.42,True
7588914805,7236.02,5.07,True
56293534604,6495.78,2.54,False
87156608797,3862.78,7.88,True
77205558769,8949.4,3.08,False
87512571605,8018.25,8.76,True
64659776395,1403.77,3.35,False
40866308157,9209.61,2.29,False
14007305723,9738.51,6.33,True
40476251913,6098.0,4.72,True
82520984037,9369.98,3.64,False
47247002281,1528.83,9.88,True
83761860282,4632.14,5.24,True
69593515390,6621.09,2.8,False
98903472955,8706.65,9.75,True
6862190681,5331.75,9.34,True
92000337364,3695.22,3.91,False
68048060185,7039.52,7.1,True
4399737160,9205.09,3.33,False
83250702606,7372.88,4.91,True
439897594,3914.58,2.18,False
24182415290,2391.82,2.09,False
76852940881,4636.35,7.95,True
38602370169,9645.86,7.85,True
96039762740,8123.47,2.2,False
71967371685,5900.61,3.09,False
28359925920,3607.79,7.67,True
78493639589,1269.65,9.77,True
66711471011,5933.98,5.81,True
13201741424,2000.01,2.82,False
95242021665,8966.9,2.67,False
30381240632,7240.3,1.03,False
49304435879,6957.9,2.38,False
31396099607,3416.19,6.65,True
49904665136,8132.84,6.79,True
86477835343,6889.38,5.55,True
36109625830,9982.05,3.84,False
86271336849,7175.7,6.66,True
22199095026,9353.53,6.4,True
